"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-15","8.72",",,W","0.00","T,,X,2400","0.0",",,X",,,,,"42",",,X","37",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-16","5.37",",,W","0.07",",,X,2400","0.0",",,X",,,,,"46",",,X","37",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-17","4.70",",,W","0.00",",,X,2400","0.0",",,X",,,,,"49",",,X","40",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-18","10.07",",,W","0.00",",,X,2400","0.0",",,X",,,,,"74",",,X","41",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-19","8.05",",,W","0.00",",,X,2400","0.0",",,X",,,,,"74",",,X","45",",,X",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-20","6.04",",,W","0.00",",,X,2400","0.0",",,X",,,,,"67",",,X","44",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-21","10.74",",,W","0.00",",,X,2400","0.0",",,X",,,,,"78",",,X","56",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-22","10.07",",,W","0.00",",,X,2400","0.0",",,X",,,,,"83",",,X","56",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-23","8.28",",,W","0.00",",,X,2400","0.0",",,X",,,,,"76",",,X","58",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-24","8.50",",,W","0.00","T,,X,2400","0.0",",,X",,,,,"59",",,X","47",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-25","6.71",",,W","0.01",",,X,2400","0.0",",,X",,,,,"48",",,X","42",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-26","17.00",",,W","0.00","T,,X,2400","0.0",",,X",,,,,"50",",,X","32",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-27","14.54",",,W","0.00",",,X,2400","0.0",",,X",,,,,"49",",,X","27",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-28","7.83",",,W","0.06",",,X,2400","0.0",",,X",,,,,"50",",,X","39",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-29","11.41",",,W","0.01",",,X,2400","0.0",",,X",,,,,"46",",,X","40",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-30","11.18",",,W","0.00",",,X,2400","0.0",",,X",,,,,"51",",,X","36",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2012-03-31","6.71",",,W","0.03",",,X,2400","0.0",",,X",,,,,"43",",,X","36",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,,,
